ClaimNumber,Reserve_Profile,ExposureYear,IncurredLoss,UltimateLoss,AssignedEarmarkedLoss,FinancePremium,LossType,ClaimStatus,ReportedDate,SettlementDate,Currency,GeographicalLocation
CLM000029,Workers Comp,2024,38342.98,31572.24,32396.58,2984.67,Gross,Closed,2019-06-25,2020-07-09,USD,Berlin
CLM000030,Workers Comp,2016,80382.18,118494.22,63747.29,7873.48,Gross,Reopened,2019-06-13,2020-03-08,GBP,Sydney
CLM000031,Auto Liability,2011,44018.57,25912.18,61206.55,6775.75,Gross,Reopened,2010-08-15,2010-11-03,AUD,Paris
CLM000032,Auto Liability,2015,87083.83,5240.15,11152.9,6060.85,Gross,Open,2014-12-13,,GBP,Chicago
CLM000033,Workers Comp,2022,18885.1,94773.89,7537.26,2083.0,Net,Closed,2021-10-18,2023-03-07,CAD,Berlin
CLM000034,Homeowners,2015,94820.93,146421.48,72698.24,2362.89,Gross,Open,2011-02-23,,CAD,Berlin
CLM000035,Homeowners,2020,22658.4,50350.86,43072.92,664.01,Gross,Closed,2015-02-19,2017-07-31,USD,Chicago
CLM000036,Auto Liability,2012,33295.83,18679.7,68695.17,2558.98,Net,Open,2018-08-22,,AUD,London
CLM000037,Workers Comp,2015,75863.03,85987.71,5123.01,3585.35,Net,Reopened,2012-07-07,2015-01-16,GBP,Los Angeles
CLM000038,Auto Liability,2019,39981.76,136046.78,42357.99,8364.82,Net,Closed,2023-05-05,2024-11-09,GBP,Berlin
CLM000039,Auto Liability,2019,61212.93,117825.21,43384.41,3790.65,Net,Closed,2021-02-06,2021-08-11,EUR,London
CLM000040,Commercial,2023,45012.78,93754.86,68925.81,7595.29,Net,Open,2020-06-15,,USD,Los Angeles
CLM000041,Commercial,2014,74494.62,47943.42,8259.99,4506.53,Net,Closed,2021-09-11,2022-12-15,CAD,Berlin
CLM000042,Commercial,2021,23604.79,81740.15,19615.42,7891.71,Gross,Open,2017-03-16,,EUR,Paris
CLM000043,Homeowners,2011,6787.34,14595.48,32819.8,9767.46,Gross,Closed,2020-01-23,2022-01-31,CAD,Toronto
CLM000044,Workers Comp,2018,30693.01,102162.87,69334.4,2550.45,Net,Open,2013-09-07,,CAD,Toronto
CLM000045,Workers Comp,2017,47956.56,109039.31,75141.22,8650.95,Gross,Open,2022-09-05,,GBP,Los Angeles
CLM000046,Workers Comp,2012,17633.99,144789.71,79421.61,6293.88,Gross,Open,2015-01-04,,CAD,Sydney
CLM000047,Workers Comp,2017,36124.93,39799.21,76755.88,8209.48,Gross,Reopened,2014-07-22,2016-09-14,AUD,Los Angeles
CLM000048,Commercial,2023,40598.32,3750.01,972.37,6585.54,Gross,Closed,2022-02-06,2022-05-21,CAD,Paris
CLM000049,Homeowners,2018,6681.79,82295.66,4292.81,4354.71,Gross,Reopened,2010-03-26,2012-12-01,AUD,Berlin
CLM000050,Homeowners,2023,58747.42,106311.79,12234.74,2435.13,Net,Reopened,2020-06-09,2022-07-03,CAD,New York
CLM000051,Commercial,2024,88550.0,118770.71,28234.54,886.35,Gross,Reopened,2012-06-05,2014-08-30,EUR,Berlin
CLM000052,Homeowners,2012,16022.55,29867.1,66478.48,5448.08,Gross,Reopened,2019-02-22,2021-08-05,GBP,Los Angeles
CLM000053,Commercial,2012,60182.99,40001.18,71466.17,9905.2,Net,Closed,2021-07-09,2022-08-09,EUR,Chicago
CLM000054,Workers Comp,2011,66809.18,77376.05,15353.34,7432.81,Gross,Closed,2017-04-29,2019-06-23,GBP,Paris
CLM000055,Commercial,2017,42514.13,50259.52,49763.3,3407.99,Gross,Reopened,2023-10-24,2024-05-18,EUR,New York
CLM000056,Workers Comp,2019,70408.66,129216.21,73430.28,8306.61,Gross,Closed,2017-08-29,2018-01-13,USD,Paris
CLM000057,Workers Comp,2010,41662.42,71590.26,37366.67,7736.04,Gross,Closed,2021-05-10,2023-08-20,CAD,Paris
CLM000058,Auto Liability,2017,50959.09,120137.22,8731.71,2960.03,Gross,Open,2015-11-02,,CAD,Los Angeles
CLM000059,Commercial,2016,1727.95,87512.34,36896.19,340.21,Gross,Closed,2020-02-12,2021-07-04,USD,Berlin
CLM000060,Auto Liability,2023,69480.29,116190.43,30375.69,1357.99,Net,Reopened,2017-07-22,2019-07-07,USD,London
CLM000061,Commercial,2016,66472.93,50568.27,46423.81,8797.6,Gross,Closed,2017-08-10,2017-12-10,AUD,Toronto
CLM000062,Commercial,2012,4801.69,124881.08,35373.37,8398.32,Net,Reopened,2012-01-11,2014-10-02,EUR,Paris
CLM000063,Auto Liability,2010,37456.76,41911.28,1879.0,3093.05,Net,Closed,2017-11-16,2018-03-25,CAD,Paris
CLM000064,Auto Liability,2013,97924.15,82368.72,79522.82,2994.92,Gross,Reopened,2022-05-18,2022-12-14,AUD,New York
CLM000065,Commercial,2018,42652.92,32887.06,43711.45,7970.08,Gross,Closed,2024-01-28,2025-12-28,CAD,New York
CLM000066,Homeowners,2014,50692.6,71853.45,38153.65,9389.83,Gross,Closed,2014-09-08,2015-01-11,USD,Berlin
CLM000067,Workers Comp,2010,91083.09,48408.11,76392.08,7835.55,Net,Closed,2010-02-25,2010-11-13,AUD,Toronto
CLM000068,Auto Liability,2024,72008.93,40738.81,12890.9,6134.67,Net,Reopened,2019-03-17,2019-12-22,AUD,Paris
CLM000069,Workers Comp,2014,58624.94,145080.77,15544.39,2578.18,Net,Open,2017-10-30,,AUD,Sydney
CLM000070,Homeowners,2022,79982.66,24851.04,64737.17,5352.33,Gross,Reopened,2012-03-17,2014-10-20,EUR,New York
CLM000071,Homeowners,2017,86572.26,118311.55,21236.07,2488.42,Net,Closed,2018-05-15,2020-01-13,AUD,Toronto
CLM000072,Homeowners,2017,46231.92,147640.58,64038.55,8118.51,Gross,Reopened,2023-01-03,2025-07-24,CAD,Toronto
CLM000073,Auto Liability,2014,48035.73,3965.32,22086.91,3992.22,Gross,Closed,2012-10-03,2014-11-20,EUR,Chicago
CLM000074,Homeowners,2021,39219.04,105155.08,3138.42,8370.23,Net,Closed,2023-09-13,2023-10-31,CAD,Chicago
CLM000075,Auto Liability,2018,96703.91,38683.86,41602.67,3939.77,Net,Open,2021-03-27,,AUD,Paris
CLM000076,Homeowners,2024,70019.46,7032.69,16136.57,8276.66,Gross,Closed,2014-11-17,2017-02-23,AUD,New York
CLM000077,Workers Comp,2010,9239.08,61030.55,60748.78,3466.51,Net,Closed,2024-04-17,2024-12-09,CAD,London
CLM000078,Workers Comp,2013,86433.0,140347.45,51475.37,4513.3,Net,Closed,2012-09-16,2013-08-22,GBP,Los Angeles
CLM000079,Commercial,2012,48575.43,2753.0,73926.41,6231.79,Gross,Open,2020-10-08,,AUD,London
CLM000080,Workers Comp,2011,7806.64,88594.97,62747.57,888.82,Net,Reopened,2018-08-31,2019-03-07,AUD,Berlin
CLM000081,Commercial,2024,55422.01,75708.08,14871.69,9492.43,Net,Open,2024-03-27,,EUR,Paris
CLM000082,Workers Comp,2017,42299.26,131134.24,64112.58,5821.34,Gross,Reopened,2019-03-24,2020-11-05,CAD,Los Angeles
CLM000083,Auto Liability,2016,87897.19,13516.26,51518.1,5176.64,Gross,Closed,2015-09-10,2016-10-21,AUD,Los Angeles
CLM000084,Workers Comp,2018,21195.47,102547.38,53681.66,8426.06,Net,Reopened,2011-01-13,2011-09-23,CAD,Berlin
CLM000085,Commercial,2011,82820.0,102336.35,66664.9,8684.47,Net,Reopened,2016-07-05,2018-07-18,EUR,Toronto
CLM000086,Commercial,2023,56211.18,100692.92,46119.01,5318.15,Net,Reopened,2024-11-01,2025-03-02,CAD,Paris
CLM000087,Homeowners,2023,6406.42,141407.84,37547.28,9287.17,Gross,Reopened,2010-10-09,2012-09-04,CAD,New York
CLM000088,Auto Liability,2013,97212.68,123640.04,51112.96,834.43,Net,Closed,2024-01-19,2024-08-11,EUR,London
CLM000089,Workers Comp,2023,51748.91,7253.94,24187.62,1309.61,Gross,Open,2022-12-18,,AUD,Toronto
CLM000090,Homeowners,2024,29796.81,71191.34,15016.47,6048.52,Gross,Reopened,2017-12-29,2020-04-17,CAD,Paris
CLM000091,Workers Comp,2015,47471.28,60295.01,49518.73,3669.85,Gross,Closed,2021-05-27,2023-06-30,GBP,London
CLM000092,Workers Comp,2020,85927.92,47211.94,19090.95,4749.41,Gross,Closed,2019-11-04,2020-05-30,AUD,New York
CLM000093,Homeowners,2012,31185.41,68249.17,6853.25,3415.18,Net,Closed,2015-01-13,2017-02-18,EUR,London
CLM000094,Homeowners,2017,20074.96,58244.93,544.06,4166.31,Net,Closed,2022-02-19,2023-06-16,USD,Sydney
CLM000095,Homeowners,2012,13778.05,65417.75,48861.39,8261.93,Net,Reopened,2017-12-02,2018-03-16,GBP,Paris
CLM000096,Homeowners,2023,30488.08,146910.02,29290.83,6016.07,Net,Open,2010-08-03,,AUD,Berlin
CLM000097,Homeowners,2021,78224.76,14206.31,60308.72,9973.98,Net,Closed,2022-12-14,2025-05-01,EUR,Los Angeles
CLM000098,Workers Comp,2022,47691.01,138412.4,30326.52,7911.42,Gross,Open,2022-05-16,,GBP,London
CLM000099,Homeowners,2022,23520.68,72555.27,39137.27,2881.93,Gross,Open,2015-10-22,,AUD,New York
CLM000100,Auto Liability,2011,17452.31,93937.59,32863.26,2790.58,Net,Open,2020-05-21,,USD,Paris
CLM000101,Commercial,2022,33940.22,124697.26,52220.7,3491.8,Net,Closed,2017-11-10,2020-07-23,AUD,New York
CLM000102,Homeowners,2022,94052.51,54708.99,28813.06,8463.94,Net,Closed,2012-02-25,2012-07-06,USD,Sydney
CLM000103,Homeowners,2012,34959.64,65132.86,77119.53,467.42,Net,Closed,2012-07-26,2012-10-04,USD,New York
CLM000104,Workers Comp,2020,98824.28,62018.25,74923.69,2455.78,Gross,Open,2014-08-17,,CAD,Sydney
CLM000105,Homeowners,2015,49037.82,56834.92,67918.22,9068.2,Net,Closed,2024-10-07,2025-10-05,EUR,Toronto
CLM000106,Homeowners,2011,18737.23,138903.87,73663.87,6470.99,Gross,Closed,2020-02-29,2021-01-03,CAD,London
CLM000107,Homeowners,2017,89222.87,124510.55,36206.61,2423.1,Gross,Open,2013-06-10,,USD,Chicago
CLM000108,Workers Comp,2010,46575.18,17241.0,43146.22,2347.62,Net,Closed,2018-07-10,2019-12-27,EUR,Chicago
CLM000109,Homeowners,2016,71257.46,17110.38,59496.36,8653.66,Gross,Reopened,2022-06-01,2023-02-28,EUR,New York
CLM000110,Commercial,2011,98387.45,64752.56,55843.6,8958.82,Net,Reopened,2013-08-30,2015-04-15,EUR,Berlin
CLM000111,Workers Comp,2019,5967.36,15699.95,71308.95,2710.08,Gross,Reopened,2010-09-27,2013-05-29,GBP,London
CLM000112,Commercial,2021,10572.76,93244.87,57448.32,4321.0,Gross,Reopened,2014-01-30,2015-09-20,AUD,Paris
CLM000113,Workers Comp,2015,72325.22,22410.05,79831.83,8379.04,Gross,Open,2015-10-23,,USD,Sydney
CLM000114,Homeowners,2021,28900.68,78833.62,28206.21,7755.87,Gross,Closed,2014-08-08,2014-11-24,EUR,London
CLM000115,Commercial,2011,19245.84,2075.77,66723.32,8176.38,Gross,Reopened,2023-01-22,2025-07-24,GBP,Chicago
CLM000116,Workers Comp,2011,4896.83,48172.86,55961.97,5280.3,Net,Reopened,2020-07-20,2021-10-29,GBP,London
CLM000117,Auto Liability,2019,3162.82,101901.42,55465.22,9133.18,Gross,Closed,2011-02-14,2013-02-20,USD,New York
CLM000118,Homeowners,2022,77674.07,73121.8,26403.93,3394.33,Net,Open,2013-12-12,,CAD,Berlin
CLM000119,Workers Comp,2017,14308.91,146762.15,62955.34,1735.39,Net,Reopened,2016-03-08,2016-10-20,GBP,Toronto
CLM000120,Auto Liability,2024,47304.34,131241.47,72079.89,7145.58,Gross,Closed,2012-03-02,2012-05-01,USD,Berlin
CLM000121,Workers Comp,2024,60983.78,54501.55,17874.6,5485.67,Net,Closed,2024-08-17,2027-01-07,GBP,Los Angeles
CLM000122,Auto Liability,2021,43406.83,7777.49,50227.0,8574.94,Gross,Reopened,2010-12-26,2011-02-23,USD,Sydney
CLM000123,Homeowners,2011,3683.56,126998.32,31674.72,995.36,Net,Reopened,2022-10-22,2023-03-13,EUR,Los Angeles
CLM000124,Commercial,2016,78566.65,136773.91,79169.08,8468.19,Net,Closed,2024-01-27,2025-12-06,CAD,Paris
CLM000125,Auto Liability,2012,2040.81,123273.48,38567.21,3074.29,Gross,Closed,2011-02-27,2013-03-31,GBP,Berlin
CLM000126,Workers Comp,2017,76427.1,20064.54,18651.45,6617.59,Net,Reopened,2010-05-01,2012-04-13,GBP,Berlin
CLM000127,Homeowners,2016,89437.14,149689.36,30857.68,593.26,Net,Reopened,2016-01-30,2017-03-24,GBP,Sydney
CLM000128,Auto Liability,2023,43851.15,39529.05,52480.15,6173.9,Net,Reopened,2021-04-22,2023-03-19,AUD,Paris
CLM000129,Workers Comp,2017,54018.7,108906.53,6549.11,7229.26,Gross,Reopened,2018-02-13,2018-12-15,AUD,Paris
CLM000130,Workers Comp,2023,48221.36,136297.2,48486.35,3813.75,Net,Open,2010-03-12,,EUR,Berlin
CLM000131,Workers Comp,2016,39531.65,36117.38,74532.37,2311.02,Net,Closed,2022-09-15,2023-07-17,GBP,Toronto
CLM000132,Auto Liability,2020,88855.03,136330.52,68103.84,5468.78,Gross,Reopened,2023-11-12,2023-12-23,CAD,London
CLM000133,Auto Liability,2015,89499.42,47112.76,5880.05,8365.27,Net,Closed,2020-02-10,2021-07-16,AUD,Toronto
CLM000134,Auto Liability,2022,34245.82,146485.57,79474.5,3370.76,Gross,Reopened,2022-09-05,2024-05-23,USD,Los Angeles
CLM000135,Commercial,2016,61891.91,42907.74,56048.79,2674.2,Net,Open,2020-03-18,,USD,London
CLM000136,Auto Liability,2014,92763.85,143061.94,13401.33,2933.57,Net,Closed,2010-01-14,2010-04-02,USD,London
CLM000137,Auto Liability,2016,96243.79,8978.15,1487.08,9501.5,Net,Open,2024-11-08,,EUR,Berlin
CLM000138,Auto Liability,2010,51386.95,106681.53,14116.97,3720.91,Gross,Closed,2020-09-05,2020-10-14,GBP,London
CLM000139,Commercial,2010,45829.66,80284.56,67134.99,235.32,Net,Open,2019-11-29,,GBP,Sydney
CLM000140,Auto Liability,2018,28590.74,72203.68,2220.33,7860.48,Gross,Reopened,2010-09-28,2011-09-12,AUD,Toronto
CLM000141,Workers Comp,2023,95928.32,34300.65,19035.21,7052.89,Gross,Reopened,2018-07-22,2019-02-22,USD,London
CLM000142,Auto Liability,2014,15138.62,106133.77,60705.79,1459.97,Net,Open,2014-05-03,,EUR,Chicago
CLM000143,Workers Comp,2022,58403.13,29430.61,47095.79,9852.06,Net,Reopened,2022-06-25,2025-01-13,CAD,Berlin
CLM000144,Workers Comp,2014,28972.48,83373.43,62727.49,6159.01,Gross,Open,2011-06-07,,GBP,Berlin
CLM000145,Workers Comp,2012,28621.82,38733.56,59818.97,5107.64,Net,Open,2017-09-18,,GBP,Berlin
CLM000146,Commercial,2014,41091.89,143387.59,4522.81,3945.75,Net,Closed,2023-07-22,2025-12-02,EUR,New York
CLM000147,Commercial,2012,99880.5,5266.05,71454.66,9006.99,Net,Open,2017-10-10,,AUD,Toronto
CLM000148,Commercial,2018,6441.66,30759.51,18549.03,2590.84,Net,Closed,2011-03-19,2011-05-03,EUR,Berlin
CLM000149,Auto Liability,2018,58275.64,37104.28,44494.7,3000.54,Gross,Open,2015-09-15,,AUD,Paris
CLM000150,Workers Comp,2015,9174.64,62696.11,51720.91,1399.63,Net,Closed,2018-01-06,2020-04-09,GBP,Sydney
CLM000151,Commercial,2024,16297.56,35676.81,13905.94,7639.37,Gross,Closed,2013-05-06,2015-02-21,AUD,Berlin
CLM000152,Commercial,2010,44516.73,74211.01,78110.38,6036.38,Gross,Reopened,2019-06-12,2019-07-17,AUD,New York
CLM000153,Auto Liability,2016,51535.55,130997.36,39308.4,6168.85,Gross,Closed,2016-09-06,2017-07-30,AUD,Chicago
CLM000154,Commercial,2016,26620.45,107097.45,5082.59,2341.01,Gross,Closed,2024-07-29,2027-02-25,AUD,Chicago
CLM000155,Auto Liability,2023,32329.26,87414.34,75012.33,6581.45,Gross,Open,2016-06-20,,USD,Toronto
CLM000156,Homeowners,2019,9609.74,14261.47,47108.29,7701.49,Gross,Closed,2022-05-01,2023-02-13,USD,London
CLM000157,Commercial,2019,31018.76,104404.82,56085.86,3707.31,Gross,Reopened,2012-06-13,2012-08-21,USD,Toronto
CLM000158,Homeowners,2013,96689.29,25795.73,42251.48,8053.2,Net,Open,2020-09-07,,USD,London
CLM000159,Auto Liability,2017,94526.03,118168.74,66861.67,3618.15,Net,Closed,2016-03-03,2018-04-15,EUR,Paris
CLM000160,Workers Comp,2015,34152.95,38258.46,3134.11,7629.76,Gross,Open,2024-09-04,,CAD,London
CLM000161,Commercial,2013,57514.54,63140.26,21836.08,530.56,Net,Open,2015-07-04,,AUD,Berlin
CLM000162,Auto Liability,2013,91049.94,53220.06,37837.04,5601.41,Net,Open,2023-09-03,,EUR,Los Angeles
CLM000163,Workers Comp,2011,1612.2,128963.27,6589.99,9701.36,Net,Open,2021-06-22,,USD,Sydney
CLM000164,Workers Comp,2023,81257.67,19855.12,56619.58,9816.2,Net,Open,2022-09-10,,AUD,Sydney
CLM000165,Homeowners,2011,94888.59,85281.09,31796.24,2961.18,Gross,Closed,2018-10-21,2019-09-23,CAD,Los Angeles
CLM000166,Auto Liability,2021,10041.25,22167.18,22177.11,4525.71,Net,Open,2022-08-10,,AUD,Berlin
CLM000167,Workers Comp,2023,16983.32,106014.58,768.62,817.18,Gross,Open,2017-01-04,,GBP,New York
CLM000168,Commercial,2013,96113.88,135856.64,57726.51,8758.74,Net,Reopened,2017-10-17,2020-06-21,GBP,London
CLM000169,Commercial,2014,54216.47,65756.54,66787.84,5772.01,Net,Reopened,2012-11-11,2014-04-04,EUR,Los Angeles
CLM000170,Homeowners,2017,2405.47,73725.75,31905.72,3973.99,Gross,Open,2023-03-27,,CAD,Sydney
CLM000171,Workers Comp,2024,26505.57,139186.0,45355.33,1305.15,Gross,Closed,2024-07-29,2026-02-01,EUR,Chicago
CLM000172,Auto Liability,2015,45544.42,78627.72,18601.09,9478.32,Gross,Reopened,2018-01-13,2019-05-22,AUD,Toronto
CLM000173,Commercial,2023,69597.98,73652.17,49964.71,5396.15,Net,Reopened,2011-04-16,2012-06-27,CAD,New York
CLM000174,Workers Comp,2024,73582.88,87171.04,1464.93,2972.69,Net,Open,2021-12-28,,EUR,Berlin
CLM000175,Workers Comp,2013,99546.73,103695.23,39347.19,3632.11,Net,Closed,2011-01-07,2013-03-23,AUD,New York
CLM000176,Homeowners,2022,29463.61,16925.62,51714.34,2852.83,Gross,Closed,2019-04-27,2019-07-10,USD,Paris
CLM000177,Commercial,2020,54283.79,123345.47,73496.25,6097.74,Gross,Reopened,2013-11-04,2016-02-08,AUD,Paris
CLM000178,Commercial,2016,53799.03,65890.25,30816.2,9313.64,Gross,Reopened,2022-08-08,2024-12-14,EUR,Sydney
CLM000179,Auto Liability,2017,41158.88,11779.93,61332.62,8595.6,Gross,Reopened,2020-10-21,2021-08-17,CAD,Chicago
CLM000180,Commercial,2011,17747.03,118141.22,48016.12,4711.73,Gross,Reopened,2021-02-27,2021-12-28,CAD,Los Angeles
CLM000181,Auto Liability,2021,97768.2,57165.55,74197.46,8299.69,Net,Reopened,2024-04-11,2026-11-07,USD,Paris
CLM000182,Commercial,2016,85478.4,15954.76,32171.03,4346.43,Gross,Open,2022-10-18,,EUR,Paris
CLM000183,Homeowners,2024,50334.97,95433.08,25868.08,2672.61,Gross,Open,2024-07-02,,USD,Paris
CLM000184,Commercial,2023,60721.3,132139.57,71027.79,9837.47,Net,Open,2016-11-25,,GBP,Berlin
CLM000185,Auto Liability,2011,23498.84,133275.27,4414.93,3178.1,Gross,Reopened,2012-10-04,2014-03-05,AUD,Sydney
CLM000186,Auto Liability,2011,54834.92,143691.86,11342.64,3372.5,Gross,Open,2019-03-01,,GBP,London
CLM000187,Homeowners,2017,69802.04,130288.11,7051.15,9898.99,Gross,Reopened,2011-10-30,2012-04-20,GBP,Paris
CLM000188,Commercial,2011,52001.54,1319.0,67527.24,1512.49,Gross,Closed,2013-12-17,2016-04-29,USD,Paris
CLM000189,Commercial,2024,99038.23,57655.93,1343.29,7653.23,Net,Closed,2020-11-10,2023-01-05,USD,Paris
CLM000190,Homeowners,2020,61522.82,122962.84,69001.74,9370.97,Gross,Open,2015-03-23,,AUD,New York
CLM000191,Commercial,2018,37726.4,55571.7,36375.79,5215.59,Net,Closed,2016-06-25,2018-10-25,USD,Los Angeles
CLM000192,Commercial,2021,77443.05,90630.73,820.01,224.71,Gross,Closed,2015-10-07,2016-05-16,USD,London
CLM000193,Auto Liability,2010,17875.79,91341.23,32430.79,3875.58,Net,Closed,2021-12-17,2023-07-16,USD,Toronto
CLM000194,Commercial,2024,39067.07,55388.77,15350.67,1293.38,Net,Open,2024-07-23,,USD,London
CLM000195,Commercial,2018,35348.94,135766.62,50139.84,4278.64,Gross,Closed,2018-04-18,2020-10-30,USD,New York
CLM000196,Homeowners,2024,43748.9,75981.02,54509.02,7942.26,Net,Open,2010-02-10,,GBP,Toronto
CLM000197,Homeowners,2010,78396.2,70252.85,39258.44,4499.37,Net,Reopened,2023-03-27,2025-06-15,GBP,Chicago
CLM000198,Workers Comp,2019,48933.13,149629.55,3721.3,4432.87,Net,Reopened,2024-09-08,2025-08-21,AUD,Sydney
CLM000199,Auto Liability,2022,79607.43,74531.55,52662.24,5656.54,Gross,Open,2023-02-26,,CAD,Los Angeles
CLM000200,Commercial,2019,58072.4,27581.34,67442.08,5900.57,Net,Open,2010-05-06,,AUD,Chicago
CLM000201,Commercial,2011,34864.87,77447.34,57765.78,8591.7,Net,Closed,2012-02-17,2013-11-18,EUR,Chicago
CLM000202,Workers Comp,2015,81187.9,122288.49,66481.65,3221.88,Net,Reopened,2012-04-15,2013-08-04,AUD,Toronto
CLM000203,Commercial,2015,24590.68,116752.19,16440.51,8252.38,Gross,Closed,2012-05-28,2013-12-19,AUD,New York
CLM000204,Auto Liability,2010,23213.92,118498.68,71166.59,5746.15,Gross,Reopened,2022-04-17,2022-10-13,USD,Paris
CLM000205,Workers Comp,2016,50945.79,106495.54,26114.38,3145.19,Net,Closed,2023-06-25,2024-02-17,USD,Berlin
CLM000206,Auto Liability,2017,26824.08,38878.46,1565.68,3092.24,Net,Closed,2012-04-16,2013-04-29,USD,Toronto
CLM000207,Workers Comp,2011,1899.62,129450.53,67549.64,3739.15,Gross,Reopened,2011-06-09,2012-03-26,CAD,Sydney
CLM000208,Workers Comp,2017,65181.46,134123.08,75374.79,6302.39,Net,Closed,2013-06-05,2015-06-26,USD,Toronto
CLM000209,Homeowners,2018,51598.29,29928.75,52616.88,2461.95,Gross,Reopened,2021-08-12,2022-10-28,EUR,Los Angeles
CLM000210,Auto Liability,2015,45106.26,20437.89,18899.21,9219.27,Net,Open,2012-01-05,,GBP,London
CLM000211,Commercial,2014,96729.88,146365.14,20513.68,5834.14,Net,Closed,2010-06-18,2012-08-04,EUR,Berlin
CLM000212,Commercial,2021,57548.72,130380.27,37594.13,9216.15,Gross,Reopened,2013-02-22,2015-04-22,CAD,New York
CLM000213,Auto Liability,2018,86479.73,134092.19,71877.57,654.76,Gross,Reopened,2010-10-27,2011-08-10,USD,Berlin
CLM000214,Commercial,2022,14805.57,133070.08,12393.01,3557.59,Net,Closed,2019-02-04,2020-07-09,AUD,London
CLM000215,Commercial,2021,57351.44,81711.34,66164.91,423.52,Gross,Reopened,2023-10-13,2025-10-15,GBP,Paris
CLM000216,Auto Liability,2020,86929.98,97313.86,23658.57,2868.07,Net,Closed,2011-06-06,2013-03-04,CAD,Chicago
CLM000217,Workers Comp,2018,58727.47,82259.06,64782.6,8647.66,Net,Closed,2011-09-10,2013-04-09,EUR,Berlin
CLM000218,Auto Liability,2010,72083.4,8629.75,73661.56,558.78,Gross,Open,2023-11-13,,USD,Paris
